cookie_info,Domain,Description,category,Categorization,Expiry Date
guest_id,.twitter.com,Twitter establece esta cookie para identificar y rastrear al visitante del sitio web.,twitter,Targeting/Advertising,1 Year 10 Months 23 Days
HSID,.google.com,Permite a Google recopilar información del usuario para los videos alojados en YouTube.,Google,Targeting/Advertising,1 Year 9 Months 27 Days
i/adsct,Twitter,Twitter.com utiliza la cookie para determinar la cantidad de visitantes que acceden al sitio web a través del contenido publicitario de teitter,Twitter,Targeting/Advertising,
IDE,Doubleclick,Utilizado por Google DoubleClick para registrar e informar las acciones del usuario del sitio web después de ver o hacer clic en uno de los anuncios del anunciante con el fin de medir la eficacia de un anuncio y presentar anuncios dirigidos al usuario.,Doubleclick,Targeting/Advertising,1 Year
JSESSIONID,.nr-data.net,Cookie utilizada para grabar la sesión del usuario.,Google,Necessary,Session
JSESSIONID,,Conserva los estados de los usuarios en las solicitudes de página.,NA,Necessary,Session
kdt,.twitter.com,"Twitter generalmente proporciona esta cookie para controlar los enlaces de referencia y el estado de inicio de sesión. Suelen estar presentes cuando hay un botón ""Tweet This"" u otro widget de Twitter presente en el sitio.",twitter,Functional,1 Year 5 Months 25 Days
lang,.ads.linkedin.com,Establece el idioma predeterminado,Linkedin,Functional,Session
li_sugr,.linkedin.com,Identificador del navegador,Linkedin,Functional,2 Months 30 Days
lidc,.linkedin.com,Utilizado para enrutamiento,Linkedin,Functional,0 Days
lpv95412,Pardot,"Esta cookie LPV está configurada para evitar que Pardot rastree múltiples vistas de página en un solo activo durante una sesión de 30 minutos. Por ejemplo, si un visitante vuelve a cargar una página de destino varias veces durante un período de 30 minutos, esta cookie evita que cada recarga se rastree como una vista de página.",Pardot,Necessary,1 Day
NID,.googletagmanager.com,"Google utiliza estas cookies para mostrar anuncios personalizados en los sitios de Google, en función de búsquedas recientes e interacciones anteriores.",Google,Targeting/Advertising,6 Months 1 Days
OGPC,.google.com,Esta cookie habilita la funcionalidad de Google Maps.,Google,Functional,19 Days
pardot,Pardot,"Una cookie de sesión llamada pardot se configura en su navegador mientras está conectado a Pardot como usuario o cuando un visitante accede a un formulario, página de destino o página con el código de seguimiento de Pardot. La cookie denota una sesión activa y no se usa para el seguimiento.",Pardot,Necessary,Session
personalization_id,.twitter.com,Esta cookie se establece debido a la integración de Twitter y las capacidades de intercambio para las redes sociales.,twitter,Targeting/Advertising,1 Year 9 Months 16 Days
piwik.php,MATOMO/Azalead,"Recopila estadísticas sobre las visitas de los usuarios al sitio web, como el número de páginas vistas, el tiempo promedio de espera
el sitio web y tiempo de lectura. ",MATOMO/Azalead,Targeting/Advertising,Session
presence,.facebook.com,La cookie de presencia se usa para contener el estado de chat del usuario.,facebook,Functional,Session
r/collect,Note Sure,Esta cookie se utiliza para enviar datos a Google Analytics sobre el dispositivo y el comportamiento del visitante. Realiza un seguimiento del visitante a través de dispositivos y canales de comercialización.,Note Sure,Targeting/Advertising,Session
remember_checked_on,.twitter.com,"Twitter generalmente proporciona esta cookie para controlar los enlaces de referencia y el estado de inicio de sesión. Suelen estar presentes cuando hay un botón ""Tweet This"" u otro widget de Twitter presente en el sitio.",twitter,Functional,4 Year 11 Months 24 Days
rweb_optin,.twitter.com,Utilizado por twitter,twitter,Targeting/Advertising,10 Months 23 Days
rxVisitor,.capgemini.com,Utilizado por Dynatrace para rastrear <visitorID>,Dynatrace,Functional,1 Year 9 Months 28 Days
SAPISID,.google.com,Permite a Google recopilar información del usuario para los videos alojados en YouTube.,Google,Targeting/Advertising,1 Year 9 Months 27 Days
sb,.facebook.com,Cookie utilizada por Facebook,facebook,Targeting/Advertising,1 Year 10 Months 19 Days
sc_anonymous_id,.soundcloud.com,Estas cookies se usan generalmente para Analytics y ayudan a contar cuántas personas visitan un sitio determinado al rastrear si lo ha visitado antes,soundcloud,Statistic,9 Year 10 Months 15 Days
SEARCH_SAMESITE,.google.com,Permitir a los servidores mitigar el riesgo de CSRF y ataques de fuga de información al afirmar que una cookie en particular solo debe enviarse con solicitudes iniciadas desde el mismo dominio registrable.,Google,Necessary,5 Months 2 Days
SID,.google.com,"Google utiliza estas cookies para mostrar anuncios personalizados en los sitios de Google, en función de búsquedas recientes e interacciones anteriores.",Google,Targeting/Advertising,1 Year 11 Months 27 Days
SIDCC,.google.com,Esta cookie lleva a cabo información sobre cómo el usuario final utiliza el sitio web y cualquier publicidad que el usuario final haya visto antes de visitar dicho sitio web.,Google,Targeting/Advertising,2 Months 30 Days
spin,.facebook.com,Cookie utilizada por Facebook,facebook,Targeting/Advertising,1 Days
SSID,.google.com,Permite a Google recopilar información del usuario para los videos alojados en YouTube.,Google,Targeting/Advertising,1 Year 9 Months 27 Days
test_cookie,Doubleclick,Se utiliza para verificar si el navegador del usuario admite cookies.,Doubleclick,Targeting/Advertising,1 Day
tfw_exp,.twitter.com,Tecnologías de seguimiento de Twitter para permitir la inserción de contenido,twitter,Functional,8 Days
tr,Facebook,"Utilizado por Facebook para ofrecer una serie de productos publicitarios, como ofertas en tiempo real de terceros anunciantes.",Facebook,Targeting/Advertising,Session
twid,.twitter.com,Conjunto de cookies debido a la integración de Twitter y las capacidades para compartir en las redes sociales,twitter,Functional,4 Year 11 Months 24 Days
UserMatchHistory,.linkedin.com,Esta cookie se utiliza para rastrear a los visitantes para que se puedan presentar anuncios más relevantes según las preferencias del visitante.,Linkedin,Targeting/Advertising,29 Days
UserMatchHistory,Linkedin,"Se utiliza para rastrear a los visitantes en múltiples sitios web, con el fin de presentar publicidad relevante basada en sus preferencias.",Linkedin,Targeting/Advertising,29 Days
utm_campaign,www.capgemini.com,Almacena el último parámetro de consulta utm_campaign.,Google Analytics,Statistic,Session
utm_content,www.capgemini.com,Utilizada por Google Analytics,Google Analytics,Statistic,Session
utm_medium,www.capgemini.com,Utilizada por Google Analytics,Google Analytics,Statistic,Session
utm_source,www.capgemini.com,Utilizada por Google Analytics,Google Analytics,Statistic,Session
utm_term,www.capgemini.com,Utilizada por Google Analytics,Google Analytics,Statistic,Session
visitor_id#,Pardot,Esta cookie es una medida de seguridad para garantizar que un usuario malintencionado no pueda falsificar a un visitante de Pardot y acceder a la información de cliente potencial correspondiente,Pardot,Necessary,10 Year
visitor_id#-hash,Pardot,Esta cookie es una medida de seguridad para garantizar que un usuario malintencionado no pueda falsificar a un visitante de Pardot y acceder a la información de cliente potencial correspondiente,Pardot,Necessary,10 Year
wd,.facebook.com,Esta cookie almacena las dimensiones de la ventana del navegador y Facebook la utiliza para optimizar la representación de la página.,facebook,Functional,7 Days
xs,.facebook.com,"Esta cookie contiene múltiples piezas de información, separadas por dos puntos.",facebook,Functional,2 Months 30 Days
