Información de Cookies,Dominio,Descripción,Categoría,Categorización,Fecha de Expiración
kdt,.twitter.com,"Twitter generalmente proporciona esta cookie para controlar los enlaces de referencia y el estado de inicio de sesión. Suelen estar presentes cuando hay un botón ""Tweet This"" u otro widget de Twitter presente en el sitio.",twitter,Funcional,1 año 5 meses 25 días
lang,.ads.linkedin.com,Establece el idioma local de forma predeterminada.,Linkedin,Funcional,Sesión
li_sugr,.linkedin.com,Identificador del navegador,Linkedin,Funcional,2 meses 30 días
lidc,.linkedin.com,Utilizado para enrutamiento,Linkedin,Funcional,0 días
lpv95412,Pardot,"Esta cookie LPV está configurada para evitar que Pardot rastree múltiples vistas de página en un solo activo durante una sesión de 30 minutos. Por ejemplo, si un visitante vuelve a cargar una página de destino varias veces durante un período de 30 minutos, esta cookie evita que cada recarga se rastree como una vista de página.",Pardot,Necesario,1 día
NID,.googletagmanager.com,"Google utiliza estas cookies para mostrar anuncios personalizados en los sitios de Google, basados en búsquedas recientes e interacciones anteriores.",Google,Segmentación/Publicidad,6 meses 1 día
OGPC,.google.com,Esta cookie habilita la funcionalidad de Google Maps.,Google,Funcional,19 días
pardot,Pardot,"Una cookie de sesión llamada pardot se configura en tu navegador mientras estás conectado a Pardot como usuario o cuando un visitante accede a un formulario, página de destino o página con el código de seguimiento de Pardot. La cookie denota una sesión activa y no se usa para el seguimiento.",Pardot,Necesario,Sesión
personalization_id,.twitter.com,Esta cookie se establece debido a la integración de Twitter y las capacidades de intercambio para las redes sociales.,twitter,Segmentación/Publicidad,1 año 9 meses 16 días
piwik.php,MATOMO/Azalead,"Recopila estadísticas sobre las visitas de los usuarios al sitio web, el tiempo promedio de espera. El sitio web y las páginas han sido leídas",MATOMO/Azalead,Segmentación/Publicidad,Sesión
presence,.facebook.com,La cookie de presencia se usa para contener el estado de chat del usuario.,facebook,Funcional,Sesión
r/collect,Note Sure,Esta cookie se utiliza para enviar datos a Google Analytics sobre el dispositivo y el comportamiento del visitante. Realiza un seguimiento del visitante a través de dispositivos y canales de comercialización.,Note Sure,Segmentación/Publicidad,Sesión
remember_checked_on,.twitter.com,"Twitter generalmente proporciona esta cookie para controlar los enlaces de referencia y el estado de inicio de sesión. Suelen estar presentes cuando hay un botón ""Tweet This"" u otro widget de Twitter presente en el sitio.",twitter,Funcional,4 años 11 meses 24 días
rweb_optin,.twitter.com,Utilizada por Twitter.,twitter,Segmentación/Publicidad,10 meses 23 días
rxVisitor,.capgemini.com,Utilizada por Dynatrace para rastrear <visitorID>,Dynatrace,Funcional,1 año 9 meses 28 días
SAPISID,.google.com,Permite a Google recopilar información del usuario para videos alojados en YouTube,Google,Segmentación/Publicidad,1 año 9 meses 27 días
sb,.facebook.com,Cookie está siendo utilizada por Facebook,facebook,Segmentación/Publicidad,1 Year 10 Months 19 Days
sc_anonymous_id,.soundcloud.com,Estas cookies se usan generalmente para Analytics y ayudan a contar cuántas personas visitan un sitio determinado al rastrear si lo ha visitado antes,soundcloud,Estático,9 años 10 meses 15 días
SEARCH_SAMESITE,.google.com,permite a los servidores mitigar el riesgo de CSRF y ataques de fuga de información al afirmar que una cookie en particular solo debe enviarse con solicitudes iniciadas desde el mismo dominio registrable.,Google,Necesario,5 meses 2 días
SID,.google.com,"Google utiliza estas cookies para mostrar anuncios personalizados en los sitios de Google, basados en búsquedas recientes e interacciones anteriores.",Google,Segmentación/Publicidad,1 año 11 meses 27 días
SIDCC,.google.com,Esta cookie lleva a cabo información sobre cómo el usuario final utiliza el sitio web y cualquier publicidad que haya visto antes de visitar dicho sitio web.,Google,Segmentación/Publicidad,2 meses 30 días
spin,.facebook.com,Cookie está siendo utilizada por Facebook,facebook,Segmentación/Publicidad,1 día
SSID,.google.com,Permite a Google recopilar información del usuario para videos alojados en YouTube,Google,Segmentación/Publicidad,1 año 9 meses 27 días
test_cookie,Doubleclick,Se utiliza para verificar si el navegador del usuario admite cookies.,Doubleclick,Segmentación/Publicidad,1 día
tfw_exp,.twitter.com,Tecnologías de seguimiento de Twitter para permitir la inserción de contenido,twitter,Funcional,8 días
tr,Facebook,"Utilizado por Facebook para ofrecer una serie de productos publicitarios, como ofertas en tiempo real de terceros anunciantes.",Facebook,Segmentación/Publicidad,Sesión
twid,.twitter.com,Conjunto de cookies debido a la integración de Twitter y las capacidades para compartir en las redes sociales,twitter,Funcional,4 años 11 meses 24 días
UserMatchHistory,.linkedin.com,Esta cookie se utiliza para rastrear a los visitantes para que se puedan presentar anuncios más relevantes según las preferencias del visitante.,Linkedin,Segmentación/Publicidad,29 días
UserMatchHistory,Linkedin,"Se utiliza para rastrear a los visitantes en múltiples sitios web, con el fin de presentar publicidad relevante basada en las preferencias del visitante.",Linkedin,Segmentación/Publicidad,29 días
utm_campaign,www.capgemini.com,Almacena el último parámetro de consulta utm_campaign.,Google Analytics,Estático,Sesión
utm_content,www.capgemini.com,Utilizado por Google Analytics.,Google Analytics,Estático,Sesión
utm_medium,www.capgemini.com,Utilizado por Google Analytics.,Google Analytics,Estático,Sesión
utm_source,www.capgemini.com,Utilizado por Google Analytics.,Google Analytics,Estático,Sesión
utm_term,www.capgemini.com,Utilizado por Google Analytics.,Google Analytics,Estático,Sesión
visitor_id#,Pardot,Esta cookie es una medida de seguridad para garantizar que un usuario malintencionado no pueda falsificar a un visitante de Pardot y acceder a la información de cliente potencial correspondiente,Pardot,Necesario,10 años
visitor_id#-hash,Pardot,Esta cookie es una medida de seguridad para garantizar que un usuario malintencionado no pueda falsificar a un visitante de Pardot y acceder a la información de cliente potencial correspondiente,Pardot,Necesario,10 años
wd,.facebook.com,Esta cookie almacena las dimensiones de la ventana del navegador y Facebook la utiliza para optimizar la representación de la página.,facebook,Funcional,7 días
xs,.facebook.com,"Esta cookie contiene múltiples piezas de información, separadas por dos puntos.",facebook,Funcional,2 meses 30 días
