Cookie_info,Domena,Opis,Kategoria,Typ pliku,Czas ważności
OGPC,.google.com,Ten plik cookie umożliwia korzystanie z funkcji Google Maps.,Google,Funkcjonalne pliki,19 dni
pardot,Pardot,"Plik cookie o nazwie pardot jest ustawiany w przeglądarce użytkownika, gdy jest on zalogowany do Pardot jako użytkownik lub gdy użytkownik uzyskuje dostęp do formularza, strony docelowej lub strony z kodem śledzenia Pardot. Plik cookie oznacza aktywną sesję i nie jest używany do śledzenia.",Pardot,Niezbędne pliki,Sesja
personalization_id,.twitter.com,Ten plik cookie jest ustawiany dzięki integracji z Twitterem i możliwościom udostępniania w mediach społecznościowych.,twitter,Targetujące/reklamowe pliki,1 rok 9 miesięcy 16 dni
piwik.php,MATOMO/Azalead,"Gromadzi statystyki dotyczące wizyt użytkownika na stronie internetowej, takie jak liczba wizyt, średni czas spędzony na stronie oraz to, jakie strony zostały przeczytane.",MATOMO/Azalead,Targetujące/reklamowe pliki,Sesja
presence,.facebook.com,Ten plik cookie służy do zapisywania stanu czatu użytkownika.,facebook,Funkcjonalne pliki,Sesja
r/collect,Note Sure,Ten plik cookie jest używany do wysyłania danych do Google Analytics dotyczących urządzenia i zachowania użytkownika. Śledzi on użytkownika poprzez urządzenia i kanały marketingowe.,Note Sure,Targetujące/reklamowe pliki,Sesja
remember_checked_on,.twitter.com,"Ten plik cookie jest zazwyczaj dostarczany przez Twittera w celu monitorowania linków polecających i statusu logowania. Są one zazwyczaj obecne, gdy na stronie znajduje się przycisk ""Tweetuj to"" lub inny widżet na Twitterze.",twitter,Funkcjonalne pliki,4 lata 11 miesięcy 24 dni
rweb_optin,.twitter.com,Ten plik jest używany przez Twitter.,twitter,Targetujące/reklamowe pliki,10 miesięcy 23 dni
rxVisitor,.capgemini.com,Plik używany przez Dynatrace do śledzenia <visitorID>,Dynatrace,Funkcjonalne pliki,1 rok 9 miesięcy 28 dni
SAPISID,.google.com,Plik cookie umożliwiający Google zbieranie informacji o użytkownikach dla filmów umieszczonych w serwisie YouTube.,Google,Targetujące/reklamowe pliki,1 rok 9 miesięcy 27 dni
sb,.facebook.com,Plik cookie używany przez Facebook.,facebook,Targetujące/reklamowe pliki,1 rok 10 miesięcy 19 dni
sc_anonymous_id,.soundcloud.com,"Te pliki cookies są zazwyczaj wykorzystywane do celów analizy i pomagają policzyć, ile osób odwiedza daną stronę, śledząc, czy użytkownik odwiedził już wcześniej daną stronę.",soundcloud,Statystyczne pliki,9 lat 10 miesięcy 15 dni
SEARCH_SAMESITE,.google.com,"Ten plik pozwala serwerom na ograniczenie ryzyka ataków CSRF i wycieku informacji poprzez stwierdzenie, że konkretny plik cookie powinien być wysyłany tylko z żądaniami zainicjowanymi z tej samej domeny podlegającej rejestracji.",Google,Niezbędne pliki,5 miesięcy 2 dni
SID,.google.com,"These cookies are used by Google to display personalized advertisements on Google sites, based on recent searches and previous interactions.",Google,Targetujące/reklamowe pliki,1 rok 11 miesięcy 27 dni
SIDCC,.google.com,"Ten plik cookie zawiera informacje na temat sposobu, w jaki użytkownik końcowy korzysta z tej strony internetowej, oraz wszelkie reklamy, które użytkownik końcowy mógł zobaczyć przed wejściem na tę stronę.",Google,Targetujące/reklamowe pliki,2 miesiące 30 dni
spin,.facebook.com,Plik cookie używany przez Facebook.,facebook,Targetujące/reklamowe pliki,1 dzień
SSID,.google.com,Ten plik umożliwia Google zbieranie informacji o użytkownikach dla filmów umieszczonych w serwisie YouTube.,Google,Targetujące/reklamowe pliki,1 rok 9 miesięcy 27 dni
test_cookie,Doubleclick,Służy do sprawdzania czy przeglądarka użytkownika obsługuje pliki cookies.,Doubleclick,Targetujące/reklamowe pliki,1 dzień
tfw_exp,.twitter.com,Twitter Tracking Technologies w celu umożliwienia osadzania treści.,twitter,Funkcjonalne pliki,8 dni
tr,Facebook,"Pliki używane przez Facebook do dostarczania serii produktów reklamowych, takich jak licytacje w czasie rzeczywistym od zewnętrznych reklamodawców.",Facebook,Targetujące/reklamowe pliki,Sesja
twid,.twitter.com,Zestaw plików cookies do integracji z Twitterem i udostępniania w mediach społecznościowych.,twitter,Funkcjonalne pliki,4 lata 11 miesięcy 24 dni
UserMatchHistory,.linkedin.com,"Ten plik cookie służy do śledzenia odwiedzających, dzięki czemu można zaprezentować bardziej odpowiednie reklamy w oparciu o ich preferencje.",Linkedin,Targetujące/reklamowe pliki,29 dni
UserMatchHistory,Linkedin,"Plik służący do śledzenia odwiedzających na wielu stronach internetowych, w celu przedstawienia odpowiedniej reklamy w oparciu o preferencje odwiedzającego.",Linkedin,Targetujące/reklamowe pliki,29 dni
utm_campaign,www.capgemini.com,Plik przechowujący ostatni parametr zapytania utm_campaign.,Google Analytics,Statystyczne pliki,Sesja
utm_content,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
utm_medium,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
utm_source,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
utm_term,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
visitor_id#,Pardot,"Ten plik cookie jest zabezpieczeniem, które ma na celu upewnienie się, że złośliwe oprogramowanie nie może podszyć się pod użytkownika z Pardot i uzyskać dostępu do informacji.",Pardot,Niezbędne pliki,10 lat
visitor_id#-hash,Pardot,"Ten plik cookie jest zabezpieczeniem, które ma na celu upewnienie się, że złośliwe oprogramowanie nie może podszyć się pod użytkownika z Pardot i uzyskać dostępu do informacji.",Pardot,Niezbędne pliki,10 lat
wd,.facebook.com,Ten plik cookie przechowuje wymiary okna przeglądarki i jest wykorzystywany przez Facebook do optymalizacji renderingu strony.,facebook,Funkcjonalne pliki,7 dni
xs,.facebook.com,"Ten plik cookie zawiera wiele informacji, oddzielonych dwukropkiem.",facebook,Funkcjonalne pliki,2 miesiące 30 dni
